abscond         偷偷离开
churl           吝啬鬼，粗野的人
clarion         清楚响亮的
clot            密集的一群,堵塞,凝结
clout           权力，影响力
cloying         发腻的
coda            终曲
coeval          同时代的
collude         串通，共谋
coltish         不守纪律，爱开玩笑的
comely          漂亮
comity          友好，社会和谐
commotion       骚乱
compendium      概要
compunction     焦虑
concerted       共同完成的
condign         应得的
condone         宽恕
conducive       有益的
confluence      混合
conjecture      猜测，认为
conservatory    温室
constringe      使紧缩
consummate      专业的,无纰漏的,最高档次的
convalesce      渐愈
conversant      熟悉的
convoluted      费解的
convulsion      痉挛，骚乱
coop            监禁
coquette        调情女子,不认真对待
cordon          警戒线,围成一道防线
cornucopia      大量
corrugated      起摺的
countermand     撤销
covert          隐蔽的
cozen           诱骗
crass           粗俗,愚钝
crease          折痕
crest           顶部,浪尖
crestfallen     垂头丧气的,沮丧
crutch          支撑,支柱
crux            中心
curmudgeon      爱抱怨的人
dabble          浅尝辄止
daft            神经错乱/不明智
dais            主席台，嘉宾席
damper          抑制因素
dandy           纨绔子弟
dapper          衣冠整洁的
dappled         花斑的
dawdle          闲荡，虚度光阴
deadpan         无动于衷
debacle         溃败
debunk          证明为假
decant          倾倒而出
decrepit        虚弱的，衰老的
deify           尊崇
deluge          大暴雨
demotic         通俗的
demur           异议，反对
denigrate       诋毁，污蔑
denouement      结局
deportation     放逐
depose          发誓作证，罢黜，摆放
deprivation     匮乏
derelict        玩忽职守
desiccate       脱水保存
desultory       无计划，无目的的，令人失望的
detritus        废品
devout          虔诚的
diabolic        恶魔般的
diatribe        抨击，挖苦
diffident       不自信，内向
dilapidate      荒废
dilatory        拖延的，磨蹭的
dilettante      业余爱好者
din             喧闹声，重复
dire            不吉利，可怕的，恐怖的，迫切的，悲惨的
dirge           挽歌
disaffected     不满的，叛逆的
discombobulate  使不安，使混乱
discomfit       使尴尬，阻碍
discommode      打扰，使不便`
disconcert      使不安
discretionary   自主决定的
discursive      杂乱的
disgorge        呕吐出
disgruntle      使不悦
disinfect       消毒，使无菌
dispassionate   [褒义]客观公正，不受偏见影响
disregard       漠视，关心，缺乏兴趣
dissemble       掩饰，伪装
dissension      意见不合
dissent         持异议
dissolute       放荡的，无节制的
dissonance      不和谐，刺耳
distain         贬损，弄脏
distend         膨胀
distraught      精神狂乱的
divestiture     剥夺
dodder          蹒跚，颤巍巍地行进
doldrums        低迷，中断
dolt            笨蛋
domicile        住所，住宅
don             船上
dour            闷闷不乐的，严厉的
douse           熄灭，弄湿
doyen           资深人士
doze            小憩
drawl           慢吞吞地说
dreary          乏味
drivel          胡言乱语
drone           单调地说
dulcet          悦耳的
dullard         笨蛋
dyspeptic       消化不良地
ebullient       热情奔放地
eclat           辉煌成就
ecumenical      普遍性的
effete          虚弱的
effluvium       难闻的气味，没用的副产品、废品
effusive        溢于言表的
eleemosynary    慈善的
elucidate       阐明
emaciate        使变瘦，使虚弱
embolden        盗用
emboss          装饰
emollient       缓和作用
enamel          涂亮漆
encomium        赞颂之词
engross         全神贯注
ennoble         使尊贵
ensconce        安置，隐藏
ensemble        合唱，合奏曲
entreat         恳求
epigram         机智短诗
epicure         美食家
epilogue        开场白
epithet         绰号
equable         性情温和的
errant          误入歧途的，犯错误的
esoteric        深奥难懂的
espouse         支持，用户
etch            蚀刻
euphemism       婉言，委婉的说法
evanescent      短暂的，逐渐消失的
exacerbate      使加剧，恶化
excoriate       严厉批评
excruciate      折磨，痛苦
exculpate       开脱
excursive       离题的
execrate        谴责，痛恨
exhort          敦促，力劝
expiate         赎罪，纠正
extemporize     即兴
extort          勒索
faction         派系
fallow          休耕
falter          蹒跚，犹豫
fathom          彻底理解，弄懂
fawn            阿谀奉承
faze            打扰，使尴尬
feckless        无成果的，粗心不负责任的
fender          缓冲装置
feral           野生的
fester          腐烂，感染溃烂
fetid           恶臭的
fiasco          大失败
figurative      比喻的
figurine        小雕塑
filibuster      拖延议事
finesse         娴熟技巧，精心策划
finicky         挑剔的
fledgling       新手
flinch          畏缩
flippancy       轻率，无礼
florid          华丽的，花哨的
fluky           侥幸
foible          小缺点
foil            挫败
footloose       无拘无束的
forbearance     克制
forebear        祖先
foreword        前言
foster          促进，培养
fracas          争吵，吵闹
fretful         易怒的，烦躁的
friable         易碎的
frothy          轻佻的，不严肃的
frowsy          邋遢的
fumble          笨拙地做，失误
furtive         鬼鬼祟祟地
fusty           腐臭的，过时的
gadfly          刺激物，令人反感的人
gaffe           失态
gall            较早，激怒，大胆
galvanize       电击，刺激
gambol          雀跃
garish          过于鲜艳的
gear            调整
germane         有关的，适当的
gibe            嘲弄
giddy           轻浮不严肃的
gild            欺骗，润色
gloat           自鸣得意
gloss           简短解释，光鲜外表，敷衍潦草做事，开脱
glut            使过量，使充满
glutinous       胶状的，年的
goad            刺激
goggle          凝视
gossamer        虚无缥缈，轻薄
grandstand      为了给人留下印象而表演
grate           刮擦，骚扰
green           无经验的
grisly          令人反感的
groove          享受，满意
grotesque       难看的
grovel          卑躬屈膝
grueling        费时间花心思的
guile           狡诈，狡猾
gull            欺骗
gullible        易受骗的
gust            情感爆发
hale            健壮的
half-baked      不明智的
hallmark        典型特征
ham-handed      笨手笨脚的
hammer          屡次重申
hamstring       使无效，使无力
harangue        长篇大论
harbinger       预言者
harrow          折磨
hasten          促进
hasty           草率的
haven           安全的地方
havoc           大混乱
headlong        鲁莽的
hearken         倾听
hearten         鼓励，关注
hegemony        霸权
heinous         可憎的
hermetic        深奥的
hew             遵守，支持
hidehound       死板，极度保守的
hie             匆匆忙忙
hike            上涨
hoary           极老的
hodgepodge      大杂烩
homely          朴素简单的
hone            磨快
hoodwink        欺骗
hovel           茅屋
hubris          狂妄自大
husband         节俭，勤俭持家
husky           沙哑
idyll           无忧无虑的生活
imbroglio       困境，复杂的局面
immanent        内在的
immaterial      非实体的
immemorial      古老的
immure          监禁，禁闭
impecunious     贫穷的
imperious       爱发号施令的，傲慢的
impertinent     无关紧要的，粗鲁无礼的，不守礼节的
impertubable    沉着冷静的
implacable      固执的，无法平息的
importune       恳求，迫切请求
imposing        宏伟壮丽的
impostor        冒充者
impugn          责难，攻击
incandescent    明亮灿烂的
incantation     咒语
inchoate        新生，未完成全形的
incinerate      烧成灰烬
incite          煽动，激起
incogitant      考虑不周的
inconsequential 不合逻辑的，不重要的
incriminate     归罪于
incubate        孵化
inculpate       归罪于
incursion       入侵
indelible       无法擦除的
indigent        贫穷的
indoctrinate    灌输思想
inducement      动机
indurate        冷库的，使变硬，使习惯于
ineffable       难以表达的
inexorable      不为所动的
infilterate     秘密潜入
ingenuity       独创性
ingenuous       天真淳朴的
ingratiating    讨人喜欢的，逢迎的
inimical        带有敌意的
iniquity        邪恶，不公正
insentient      缺乏机智的，麻木的
insipid         清淡无味，无聊的
insolent        粗野的，无礼的
insouciant      无忧虑的，不在乎的
instate         任命
insurgent       叛乱分子
inter           埋葬
intercessor     调停者
interdict       禁止
interregnum     过渡期
intrigue        阴谋，激起兴趣
inundate        淹没
inure           使习惯于
invective       侮辱性的
inveigh         激烈抗议，强烈不满
inveigle        诱骗
inverterate     积习的
invidious       惹人反感的，羡慕忌妒恨的
irascible       易怒的
ironclad        非常坚固的
irradicable     不能根除的
jabber          快而不清楚地说
jaded           疲倦的
jape            嘲弄
jarring         刺耳的
jest            轻浮，戏谑
jingoist        激进分子
jitters         紧张，不安
jolt            突然移动
jot             简要记录
judicious       明智
juggernaut      无法阻挡地，摧毁一切的
ken             知识
kindred         类似的，相似的
knack           诀窍
knead           捏造，揉捏
kudos           名声，名望
labile          易变的
lacerate        使非常痛苦
laconic         简洁的
languid         没精打彩，虚弱的
languish        变得虚弱
lapse           小过失，结束
lassitude       乏力，没精打彩
latitude        自由!!!!
laudatory       表示赞扬的
leaven          用轻松、活泼或变更的影响力来充斥
leer            一瞥
leery           怀疑的，不信任的
legion          大量的人，军团
levity          轻浮
libertine       放荡不羁
licentious      放荡的
limber          可塑的，柔软的
loquacious      话多的
loutish         粗鲁的
lugubrious      悲哀的
luminary        杰出人物
lurch           蹒跚
lush            茂盛
macabre         恐怖的
macerate        浸泡
maelstrom       动荡局势
malinger        装病以逃避工作
malleable       可塑的
malodorous      恶臭的
mangle          损毁，弄脏
mangy           卑劣的
mannered        不自然的，做作的
manumit         解放奴隶
manuscript      手稿
martinet        纪律严明之人
mash            捣碎
matriculate     录取
maudlin         过于感伤的
maven           专家
maverick        特立独行的
mawkish         过度感伤的
measly          少得可怜的
measured        深思熟虑的
mediocre        中庸的
medley          大杂烩
melodramatic    伤感的
mercenary       雇佣军
mercurial       善变的
mesh            诱捕
metaphysical    哲学上的，非尘世的
methodical      井然有序的
mettle          勇气
milk            榨取
minatory        带来威胁的，有凶兆的
miniscule       极小的
mint            巨额，无损坏的
minute          仔细的，谨小慎微的
mire            困境
mirth           欢乐
mischievous     调皮的，有害的
miscreant       罪犯，恶棍
misdemeanor     轻罪
mishap          不幸之事
mite            微小的东西
modicum         少量
molt            脱
mongrel         混血儿
monochromatric  单色的
montage         大杂烩
moratorium      拖延
mordant         尖酸刻薄的
morose          忧郁的
mosque          清真寺
moth-eaten      过时的
mottle          标记上杂色斑点
munificent      慷慨的
myopic          缺乏远见的
nadir           最低点
nauseate        厌恶，作呕
nautical        航海的
nefarious       极坏的，邪恶的
nettle          惹怒
nexus           连结，核心
nicety          准确，细微之处
nip             少量，小口吃喝
nitpick         吹毛求疵
nondescript     平凡的
nonentity       不重要的人，虚构的东西
notch           刻痕，通过努力获得
nudge           用肘推以引起注意,说服
nugatory        无关紧要的
obdurate        固执的
obliging        乐于助人的
obloquy         毁谤；耻辱；漫骂
obsequious      谄媚的，奴性的
obstreperous    难驾驭的，任性的
obviate         排除，使不必要
occult          难以理解的，使隐藏或神秘
offbeat         不平常的
offish          冷淡的
off-key         不寻常的，不合适的
ominous         凶兆的
opine           表达观点
opprobious      辱骂的，臭名昭著的
ostentatious    炫耀卖弄的
ostracize       房主
oust            免职
outlandish      古怪的
overbearing     专横傲慢的，压倒一切的
oxymoron        矛盾修饰法
padding         夸张，废话
paean           欢乐颂
palatable       感到愉悦和满足
palatial        供电的
pall            失去兴趣
pallid          无生气的，缺乏活力的，苍白无血色的
palmy           繁荣的
palter          欺骗
paltry          无价值的
pan             严厉批评
panache         炫耀
pandemic        大范围流行的
panegyric       赞颂之词
panoramic       全景的
parable         寓言
paragon         优秀模范，把……比作，显示相似
paranoid        多疑的
parch           烤干
parenthethis    间断
pariah          被排斥或鄙视的人
parity          平等
paroxysm        突发
parrot          模仿，复制
parry           躲避问题
partisan        跟随者，信徒，拥护者，偏袒的
pastiche        模仿，大杂烩
patent          显而易见的，明显的
pathological    不正常的，病态的
patina          外表，氛围，气场
patrician       贵族，名门望族
paunchy         大腹便便，大肚子的
peck            大量，小口咬
pedagogue       教育者，老师
pejorative      轻蔑的
pellucid        清澈的
pen             监狱，关押
perfervid       非常热情的
perfidy         不忠，背信弃义
peripatetic     巡游
pernicious      有害的
peroration      结束语，演讲，致辞
persecute       折磨
persiflage      打趣
personable      风度翩翩的，吸引人的
perspicacious   极敏锐的，有洞察力的
perspicuity     清晰明了
pertain         有关联的
perturb         扰乱，使烦躁不安
phenomenal      不寻常的，非凡的
philanthropic   博爱的，为他人着想的
philistine      市侩
phlegmatic      冷静的，淡漠的
piddling        微不足道的
pilfer          偷窃
pillory         被示众嘲弄
piquant         辛辣开胃的，令人振奋的
pique           使愤怒，激起，刺激
pitiless        没有同情心的
pittance        少量津贴
placebo         安慰性的事物
plangent        轰鸣的，凄凉的
pliant          易弯曲的，顺从的
plight          困境
plump           丰满的
politic         精明能干的
ponderable      有价值的，值得考虑的
pontificate     傲慢地说或做
portentous      预兆性地，凶兆地
poseur          故作姿态、不真诚的人
posit           假定，断定
potentate       有权的人
potentiate      激活，加强
pout            表示不悦
practitioner    职业人士!
prate           空谈，闲聊
precarious      危险的！
precipice       悬崖峭壁
precipitous     非常陡峭的
predilection    爱好，偏袒
preempt         预先占有
preen           整理羽毛，打扮修饰
prescription    规定
preservative    防腐剂
pretense        虚假，伪装，自大，优越感
preternatural   超乎寻常的
prevaricate     支吾其词，撒谎
primp           精心打扮
privation       穷困
procure         获得
profundity      深奥，深刻
profusion       丰富，大量
prolix          啰嗦的，冗长的
promulgate      正式宣布
propitious      吉祥的
propriety       礼节
prosaic         单调的，常见的
prosecution     实行，执行
prospect        探查，勘探
prostrate       平躺
protean         善变的，多才多艺的
protuberant     隆起的，凸出的
provincial      狭隘的
provisional     临时的
provisory       附带条件的，临时的
prowess         勇气
prowl           潜行
prudish         过分守礼的
puckish         淘气的，顽皮的
puerile         幼稚的，不成熟的
pun             双关语
pundit          权威，专家
purlieu         常去的地方，临近的地区
purloin         偷窃
pusillanimous   怯懦的
quack           江湖郎中
quail           畏缩
quandary        困惑，窘境
quarry          采石场
quaver          发颤音
quibble         吹毛求疵，牵强之词
quixotic        不切实际的，空想的
rabble          混乱的人群
rabid           狂热的，不冷静的
racy            活泼生动的
raffish         低俗的
raffle          垃圾，废物
rail            怒骂，猛烈抨击
rakish          放荡的，行为不检点的
ramble          漫游，漫步
rankle          激怒
rant            训斥，责骂
rapscallion     流氓，恶棍
rapt            狂喜的，全神贯注的
rave            狂热赞扬，怒吼
ravel           解开，松开，阐明，使纠缠，使复杂化
ravish          使陶醉，使沉迷
raze            粉碎，摧毁
reactionary     反对变革的，极保守的
ream            怒斥，训斥
recalcitrant    顽抗的，不服从的
recessive       隐性的
recidivate      回到原先的习惯，重新犯罪
recondite       深奥的，难解的
reconvene       重新召集，重新集合
recumbent       躺着的
recuperate      恢复，康复
redolent        芳香的
reel            感到眩晕
rein            抑制，限制
relish          喜欢，享受
remiss          疏忽的，不留心的
remunerate      支付报酬或饱尝
renegade        背教者，叛徒
renovate        修复，使重获新生，使焕然一新
repartee        机智的回答，打趣
repatriate      遣返
repeal          撤销，宣布……决裂
repine          抱怨，渴望
repose          平静，休息，放置
reprehend       谴责，责难，批评
reprieve        暂缓执行
reprobate       堕落者，堕落的
reproof         反对
requite         酬谢，报答
resolute        坚定的
resourceful     有创造力的，机智的
respite         间歇，休息
resplendent     华丽辉煌的
resurgence      复兴
resuscitate     使复活，使苏醒
retainer        家仆
retaliate       报复，反击
reticent        沉默不语的，不愿意的
retinue         随行人员
retort          回答，应答
retrench        削减开支
retrograde      倒退的，退步
revelry         狂欢，喧闹的作乐
rickety         不稳的
rider           骑马的人，附件
ridicule        嘲笑
rile            刺激
ripen           使成熟
rive            撕开
rivulet         小河，小溪
roil            激怒，搅浑
roisterer       喝酒喧闹的人
rookie          新手
roster          值勤表，花名册
rostrum         讲坛，演讲坛
rubicund        红润的，健康的
ruse            诡计
rustle          快速行动
saccharine      像糖一样的
salubrious      有益健康的
salve           减轻，缓解
sanctify        使神圣
sand            磨光
sapient         聪明的，有洞察力的
sartorial       裁缝匠的，裁缝的
savant          博学之士
savory          口感好的，令人愉悦的
savvy           老练，机智
scads           许多，大量
scathing        尖酸刻薄的
schism          不一致
scintillate     闪耀
scion           子孙
scisson         切断，分离，分裂
scotch          停止
scrap           废料，废物，抛弃，终止
scrappy         好斗的，好吵架的
scrawl          乱涂，潦草地写
scrupulous      细心的
scrutable       可以理解的
scuff           磨损，脚步拖沓
scurrilous      说粗话地
scurvy          下流，让人鄙视的
seamy           肮脏的，堕落的
secluded        隐蔽的，隐僻的
secrete         分泌
sedulous        勤奋认真的
seemly          得体的，遵守礼节的
self-abasement  自谦
seminal         有发展性的，创新的
sensation       感觉，知觉
septic          腐败，感染
sepulchral      阴沉的，丧葬的
sequela         结果
sere            干枯的，凋萎的
serendipity     意外发现珍奇事物的本领
serpentine      弯曲的
serrate         锯齿状
serried         密集的
sham            欺骗
shipshape       井然有序的
shopworn        陈旧的
shred           少量
shroud          遮蔽物
simpleton       笨蛋
sinecure        美差
sinew           活力，力量
slake           使满足
slate           列入名单，计划，安排
sling           投掷
slipshod        粗心的，随意的
slouch          懒人
sluggard        懒人
slur            含糊地发音，疏忽，忽略，耻辱
smattering      浅薄的知识，少量
smother         使窒息
smug            自大的，整洁的
snub            轻视
sodden          湿透的，使……湿透
solace          安慰，安抚
soliloquy       独白
somatic         肉体的
somber          昏暗的，悲伤的，不愉快的
somnolence      嗜睡
sop             安慰物，回扣，浸蚀
sophism         诡辩
soporific       安眠药，催眠的
sordid          肮脏的，卑鄙的
sound           牢固的，健康的，严谨的
spat            (小的)争吵
spate           大量，突发的洪水
speck           小点，少量
spectator       观众，目击者，旁观者
spiny           多刺的
spleen          怒气，怨恨
splice          接合，叠接
sprawl          杂乱无序地发展
sprightly       活泼地，充满活力的
squalid         污秽的，肮脏的
squall          风暴，暴风雪，尖叫
squander        使分散
squat           又矮又胖的
stalwart        无所畏惧的
stature         高度，身高，才干，水平
stealth         秘密行动，秘密的
stench          恶臭
stentorian      声音洪亮的
stickler        坚持细节的，一丝不苟的人
stifle          抑制
stigma          耻辱，污名
stint           吝惜，节省
stipple         点刻
stipulate       规定，特定要求
stitch          突然剧痛
stockade        栅栏，围栏
stodgy          平庸
stoke           添加燃料
stolid          无动于衷，感情麻木的
stomach         容忍
stonewall       拒绝，阻挠
stouthearted    勇敢的
strident        刺耳的
strut           趾高气昂的
stupor          迟钝
stygian         极黑暗的
sublime         崇高的，庄严的
sublimial       下意识的，潜在意识的
substantive     本质的，关键的
subterfuge      狡计
subtle          微妙的
succor          救援，援助
suffuse         弥漫，染遍，充满
sulk            生气，愠怒
sumptuous       豪华的，奢侈的
superimpose     添加声色
supine          懒散的
supplicate      恳求，乞求
supposition     猜测，推测
suspend         暂停，中止
suture          缝合
sweltering      酷热的
swill           痛饮
swindle         欺骗，骗取
sybarite        酒色之徒，沉于奢侈逸乐者
sycophant       马屁精
syllogism       演绎
synergic        合作的
taciturn        沉默寡言的
tactless        不机智的，笨拙的
talisman        护身符
tamper          恶意篡改，玩弄
tangent         离题的，不相关的
tangy           刺激的
tantrum         勃然大怒，发脾气
tarnish         玷污
tatty           破旧的
taunt           嘲弄，挑衅
taut            紧绷的
tawdry          俗丽的
telling         有效的，显著的
temerity        鲁莽，冒失
temperate       节制
tender          正式提出，考虑周到的
tenuous         没有实际内容的
tepid           不太热心的
terse           简洁的，简明的
tether          束缚
theatrical      做作的，夸张的
threadbare      陈腐的，贫穷的，破烂的
thwart          阻挠
ticklish        易怒的
timeworn        陈腐的
timorous        胆小的
tinker          涂浅色，微染
tirade          长篇抨击性演讲
toady           马屁精
tonic           滋补的，有益健康的
torpid          麻木的，迟钝的
torpor          缺乏兴趣，迟钝
torrid          酷热的，热情的，情感深厚的
tortuous        转弯抹角的
tout            极力赞扬
transgress      违背，犯错
travail         辛苦劳动
travesty        拙劣，嘲弄性模仿
trenchant       锐利的，一针见血的
truant          逃避责任的
truce           休战，休战协定
truculent       尖酸刻薄的，好战的
trudge          吃力而笨拙地走
trumpet         大声说出或宣告
truss           系紧，扎紧
turbid          浑浊地
turgid          浮夸的，过分装饰的
turncoat        叛徒
turpitude       卑鄙
twig            了解
uncanny         离奇的，奇异的
uncouth         粗俗的，没有品位的
unctuous        油嘴滑舌的，夸张的
understudy      替补演员
unflappable     镇定的，从容不迫的
unimpeachable   无可置疑的
unlettered      未受教育的，文盲的
unpretentious   低调的，谦逊的
unrequited      无报答的，无报酬的
unruly          难驾驭的，不守规矩的
untenable       防守不住的
untold          无数的
untoward        倒霉的，不吉利的
unwitting       不知道的，未察觉的，偶然的，并非有意的
unwonted        不习惯的，不寻常的
upbraid         责骂
uphold          支持，赞成
usurp           篡位
vacillate       摇摆
vacuous         茫然的
vagary          不可预测的思想
vapid           无趣的，乏味的
variegated      杂色的，斑驳的
vault           跳跃，跳起，一跃而起
vaunt           吹嘘
venal           容易贪污受贿的
veneer          薄木板，粉饰
veracious       诚实的，精确的
verbatim        逐字的，一字不差的
vernacular      方言，非正式的
vestige         微小的痕迹
vignette        简介短文
vim             精力，活力
vitriolic       刻薄的
vituperate      谩骂
vivacious       活泼的，快活的
vociferous      喧哗的
voluptuous      奢侈逸乐的
voracious       贪婪的，贪吃的
waddle          摇摇摆摆地走
waffle          胡扯
waft            飘荡，漂浮
wan             苍白地
warmonger       好战者
watershed       分水岭
welter          混乱，骚乱
wheedle         哄骗
whet            模块
whimsical       反复无常的
windbag         健谈的人
windy           冗长的
winsome         迷人的，漂亮的
withhold        扣压，不给予
wizen           凋谢，枯萎
wrangle         纷争
wry             扭曲的
xenophone       仇视外国人
yoke            连接
yokel           乡下人
zesty           刺激的
